2025-06-24 10:23:12,046 | INFO | Database initialized successfully.
2025-06-24 13:13:42,914 | INFO | Items fetched: 9986 items
2025-06-24 13:13:58,814 | ERROR | Integrity error updating item 36: UNIQUE constraint failed: items.item_code
2025-06-24 13:14:01,733 | ERROR | Integrity error updating item 36: UNIQUE constraint failed: items.item_code
2025-06-24 13:16:11,292 | INFO | Items fetched: 9986 items
2025-06-24 13:16:19,068 | INFO | New item added: wefewf - fedvdevde
2025-06-24 13:16:19,086 | INFO | Items fetched: 9987 items
2025-06-24 13:16:29,029 | INFO | Item 10025 updated: code -> wefewfdddd, description -> fedvdevde
2025-06-24 13:16:29,047 | INFO | Items fetched: 9987 items
2025-06-24 13:16:38,481 | INFO | Item 10025 deleted successfully.
2025-06-24 13:16:42,883 | ERROR | Error deleting item 10025: 404: Item not found
2025-06-24 13:16:46,504 | ERROR | Error deleting item 10025: 404: Item not found
2025-06-24 13:16:51,934 | INFO | Item 10024 deleted successfully.
2025-06-24 13:19:38,549 | INFO | Items fetched: 9985 items
2025-06-24 13:20:02,045 | INFO | Item 36 updated: code -> ABRA0024, description -> CUTTING DISC STONE 115 MM
2025-06-24 13:20:02,073 | INFO | Items fetched: 9985 items
2025-06-24 13:20:13,232 | INFO | Item 36 deleted successfully.
2025-06-24 13:20:13,296 | INFO | Items fetched: 9984 items
2025-06-24 13:20:28,692 | INFO | New item added: frfff - fffff
2025-06-24 13:20:28,714 | INFO | Items fetched: 9985 items
2025-06-24 13:27:21,908 | INFO | Items fetched: 9985 items
2025-06-24 13:29:18,804 | INFO | Suppliers fetched: 805 items
2025-06-24 13:29:24,400 | INFO | New supplier added: cacscscs
2025-06-24 13:29:24,409 | INFO | Suppliers fetched: 806 items
2025-06-24 13:30:19,617 | INFO | Items fetched: 9985 items
2025-06-24 13:30:34,066 | INFO | New item added: sdcvascas - csacsacsacsac
2025-06-24 13:30:34,089 | INFO | Items fetched: 9986 items
2025-06-24 13:30:41,932 | INFO | Item 37 updated: code -> ABRA003acssa, description -> GRINDING DISC STEEL 115 MM
2025-06-24 13:30:41,996 | INFO | Items fetched: 9986 items
2025-06-24 13:30:50,435 | INFO | Item 37 deleted successfully.
2025-06-24 13:30:50,504 | INFO | Items fetched: 9985 items
2025-06-24 13:31:21,316 | INFO | Items fetched: 9985 items
2025-06-24 13:35:22,985 | INFO | Database initialized successfully.
2025-06-24 13:35:22,985 | INFO | ✅ Database initialized successfully.
2025-06-24 13:35:42,593 | INFO | Database initialized successfully.
2025-06-24 13:35:42,593 | INFO | ✅ Database initialized successfully.
2025-06-24 13:35:49,733 | INFO | Items fetched: 9985 items
2025-06-24 13:35:58,815 | INFO | New item added: acvdvcadsv - adsvdsvavdv
2025-06-24 13:35:58,830 | INFO | Items fetched: 9986 items
2025-06-24 13:36:10,063 | INFO | Item 10028 updated: code -> acvdvcadsvccccc, description -> adsvdsvavdv
2025-06-24 13:36:10,083 | INFO | Items fetched: 9986 items
2025-06-24 13:36:16,434 | INFO | Item 10028 deleted successfully.
2025-06-24 13:36:16,494 | INFO | Items fetched: 9985 items
2025-06-24 13:38:58,757 | INFO | Requesters fetched: 8 items
2025-06-24 13:38:58,760 | INFO | Suppliers fetched: 806 items
2025-06-24 13:41:13,041 | INFO | Suppliers fetched: 806 items
2025-06-24 13:42:16,145 | INFO | Requesters fetched: 8 items
2025-06-24 13:42:17,945 | INFO | Items fetched: 9985 items
